id,name,now_cost,position,team,starts_per_90,chance_of_playing_next_round,cost_change_event_fall,transfers_out,threat_rank_type,selected_by_percent,cost_change_start,cost_change_start_fall,threat_rank,clean_sheets,web_name,ict_index_rank_type,total_points,ep_next,status,ict_index,expected_goals_per_90,clean_sheets_per_90,points_per_game,yellow_cards,now_cost_rank_type,transfers_in,form_rank,saves,event_points,bonus,expected_goals,expected_goals_conceded_per_90,penalties_order,corners_and_indirect_freekicks_order,cost_change_event,in_dreamteam,ep_this,goals_conceded,selected_rank,chance_of_playing_this_round,goals_conceded_per_90,expected_goals_conceded,expected_assists,points_per_game_rank_type,starts,expected_goal_involvements,goals_scored,saves_per_90,creativity,threat,expected_goal_involvements_per_90,ict_index_rank,now_cost_rank,creativity_rank,value_form,news_added,influence,selected_rank_type,creativity_rank_type,influence_rank_type,bps,value_season,expected_assists_per_90,transfers_out_event,assists,influence_rank,news,transfers_in_event,form,minutes,direct_freekicks_order,form_rank_type,points_per_game_rank,dreamteam_count,red_cards
1,Folarin Balogun,45,FWD,Arsenal,0.0,100.0,0,6793,31,0.7,0,0,385,0,Balogun,31,0,1.5,a,0.0,0.0,0.0,0.0,0,68,3601,460,0,0,0,0.00,0.0,,,0,False,1.5,0,201,100.0,0.0,0.00,0.00,43,0,0.00,0,0.0,0.0,0.0,0.0,419,441,410,0.0,2023-08-07T15:30:05.135490Z,0.0,38,30,28,0,0.0,0.0,6793,0,410,,3601,0.0,0,,43,460,0,0
2,Cédric Alves Soares,40,DEF,Arsenal,0.0,,0,3008,55,0.4,0,0,179,0,Cédric,83,0,1.5,a,0.0,0.0,0.0,0.0,0,154,1269,289,0,0,0,0.00,0.0,,,0,False,1.5,0,251,,0.0,0.00,0.00,90,0,0.00,0,0.0,0.0,0.0,0.0,241,559,222,0.0,,0.0,92,80,84,0,0.0,0.0,3008,0,232,,1269,0.0,0,,90,289,0,0
3,Mohamed Elneny,45,MID,Arsenal,0.0,0.0,0,2773,103,0.1,0,0,330,0,M.Elneny,123,0,0.0,i,0.0,0.0,0.0,0.0,0,211,84,417,0,0,0,0.00,0.0,,,0,False,0.0,0,442,0.0,0.0,0.00,0.00,145,0,0.00,0,0.0,0.0,0.0,0.0,377,367,365,0.0,2023-08-11T13:00:06.079379Z,0.0,151,121,116,0,0.0,0.0,2773,0,369,Knee injury - Unknown return date,84,0.0,0,,145,417,0,0
4,Fábio Ferreira Vieira,55,MID,Arsenal,0.0,,0,1664,268,0.1,0,0,629,0,Fábio Vieira,272,0,2.6,a,0.0,0.0,0.0,0.0,0,91,379,638,0,0,0,0.00,0.0,,,0,False,2.6,0,419,,0.0,0.00,0.00,274,0,0.00,0,0.0,0.0,0.0,0.0,634,139,632,0.0,,0.0,137,271,267,0,0.0,0.0,1664,0,629,,379,0.0,0,,274,638,0,0
5,Gabriel dos Santos Magalhães,50,DEF,Arsenal,0.0,,0,184017,210,30.7,0,0,562,0,Gabriel,211,1,2.8,a,0.0,0.0,0.0,1.0,0,31,38854,242,0,1,0,0.00,0.45,,,0,False,2.8,0,7,,0.0,0.02,0.00,86,0,0.00,0,0.0,0.0,0.0,0.0,577,259,572,0.2,,0.2,3,211,82,2,0.2,0.0,184017,0,222,,38854,1.0,4,,86,242,0,0
6,Kai Havertz,75,MID,Arsenal,1.0,,0,40646,38,4.6,0,0,67,0,Havertz,35,2,3.1,a,5.5,0.05,0.0,2.0,0,14,5834,174,0,2,0,0.05,1.18,,,0,False,3.1,1,77,,1.0,1.18,0.24,82,1,0.29,0,0.0,30.3,15.0,0.29,65,24,28,0.3,,9.4,26,20,58,11,0.3,0.24,40646,0,147,,5834,2.0,90,,82,174,0,0
7,Rob Holding,45,DEF,Arsenal,0.0,,0,2060,146,0.2,0,0,332,0,Holding,165,0,2.5,a,0.0,0.0,0.0,0.0,0,74,686,418,0,0,0,0.00,0.0,,,0,False,2.5,0,346,,0.0,0.00,0.00,168,0,0.00,0,0.0,0.0,0.0,0.0,378,369,366,0.0,,0.0,132,163,167,0,0.0,0.0,2060,0,370,,686,0.0,0,,168,418,0,0
8,Gabriel Fernando de Jesus,80,FWD,Arsenal,0.0,0.0,0,65048,86,1.7,0,0,662,0,G.Jesus,86,0,0.0,i,0.0,0.0,0.0,0.0,0,6,2851,659,0,0,0,0.00,0.0,2.0,,0,False,0.0,0,136,0.0,0.0,0.00,0.00,86,0,0.00,0,0.0,0.0,0.0,0.0,662,15,662,0.0,2023-08-02T21:00:03.961365Z,0.0,24,86,86,0,0.0,0.0,65048,0,661,Knee injury - Unknown return date,2851,0.0,0,,86,659,0,0
9,Jorge Luiz Frello Filho,55,MID,Arsenal,0.0,100.0,0,2255,247,0.2,0,0,600,0,Jorginho,255,0,2.6,a,0.0,0.0,0.0,0.0,0,55,1009,619,0,0,0,0.00,0.0,,,0,False,2.6,0,323,100.0,0.0,0.00,0.00,259,0,0.00,0,0.0,0.0,0.0,0.0,612,88,606,0.0,2023-08-07T15:30:05.168632Z,0.0,96,253,249,0,0.0,0.0,2255,0,605,,1009,0.0,0,,259,619,0,0
10,Jakub Kiwior,45,DEF,Arsenal,0.0,,0,1080,188,0.1,0,0,418,0,Kiwior,196,0,2.5,a,0.0,0.0,0.0,0.0,0,137,140,487,0,0,0,0.00,0.0,,,0,False,2.5,0,429,,0.0,0.00,0.00,198,0,0.00,0,0.0,0.0,0.0,0.0,450,479,442,0.0,,0.0,164,196,197,0,0.0,0.0,1080,0,442,,140,0.0,0,,198,487,0,0
